Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Cân nặng,Giá(đ)
Bàn phím cơ AKKO MonsGeek MG75 Prunus Lannesiana Akko V3 Cream Blue switch,AKKO,MonsGeek,có dây,333.0,blue,1013.0098039215686,899000 
Bàn phím Razer Ornata V3,Razer,EK75,không dây,358.07547169811323,silver,1013.0098039215686,1489000 
Bàn phím Razer Ornata V3 X,Razer,H87S,không dây,358.07547169811323,silver,1013.0098039215686,889000 
Bàn phím cơ DareU EK87 V2 White Red switch,DareU,EK87,không dây,358.07547169811323,red,1013.0098039215686,479000 
Bàn phím cơ DareU EK87 V2 White Brown switch,DareU,EK87,không dây,358.07547169811323,brown,1013.0098039215686,479000 
Bàn phím cơ DareU A98 Pro Triple Mode Red Wave DareU Dream switch,DareU,D87s,không dây,358.07547169811323,blue,1013.0098039215686,2289000 
Bàn phím cơ DareU A98 Pro Triple Mode Tiramisu DareU Dream switch,DareU,MonsGeek,không dây,358.07547169811323,yellow,1013.0098039215686,2289000 
Bàn phím cơ DareU A98 Pro Triple Mode Timeless DareU Dream switch,DareU,3108,không dây,358.07547169811323,black,1013.0098039215686,2289000 
Bàn phím cơ DareU EK807G Wireless Blue switch,DareU,3108,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,299000 
Bàn phím cơ Fuhlen H87S Panda V2 3 Mode Wireless Fuhlen Yellow Pro switch,Fuhlen,H87S,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,1599000 
Bàn phím cơ Fuhlen H87S Panda V2 3 Mode Wireless Fuhlen Red Pro switch,Fuhlen,H87S,có dây,358.07547169811323,yellow,1013.0098039215686,1599000 
Bàn phím cơ Fuhlen H87S Panda V2 3 Mode Wireless Fuhlen Brown Pro switch,Fuhlen,H87S,có dây,358.07547169811323,brown,1013.0098039215686,1599000 
Bàn phím cơ Razer Blackwidow V4 75% Orange Gen-3 switch,Razer,Blackwidow,không dây,358.07547169811323,red,1013.0098039215686,4589000 
Bàn phím cơ Logitech G Pro X TKL LightSpeed Wireless White Tactile switch,Logitech,H87S,có dây,358.07547169811323,silver,1013.0098039215686,3989000 
Bàn phím cơ Logitech G Pro X TKL LightSpeed Wireless Tactile switch,Logitech,CMK98SAM,không dây,358.07547169811323,blue,1013.0098039215686,3989000 
Bàn phím cơ E-DRA EK3287 Blue switch,E-DRA,EK384,có dây,358.07547169811323,blue,1013.0098039215686,399000 
Bàn phím cơ E-DRA EK3287 Red switch,E-DRA,EK398L,không dây,358.07547169811323,red,1013.0098039215686,399000 
Bàn phím cơ E-DRA EK387L Pink Blue switch,E-DRA,EK387L,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,549000 
Bàn phím cơ E-DRA EK387L Pink Brown switch,E-DRA,EK387L,có dây,358.07547169811323,brown,1013.0098039215686,549000 
Bàn phím cơ E-DRA EK387L Pink Red switch,E-DRA,EK387L,vừa có dây vừa không dây,358.07547169811323,red,1013.0098039215686,549000 
Bàn phím cơ E-DRA EK314W Wireless Blue switch,E-DRA,FL980,có dây,358.07547169811323,blue,1013.0098039215686,349000 
Bàn phím cơ E-DRA EK314W Wireless Brown switch,E-DRA,CMK87,không dây,358.07547169811323,brown,1013.0098039215686,349000 
Bàn phím cơ AKKO 3108 RF Black on White Wireless Akko V3 Cream Blue switch,AKKO,3108,có dây,440.0,blue,1200.0,1489000 
Bàn phím cơ không dây AKKO 3087 RF Dragon Ball Z – Goku Akko V3 Cream Blue switch,AKKO,3087,có dây,360.0,blue,950.0,1589000 
Bàn phím cơ AKKO 3087 RF One Piece – Luffy Akko V3 Cream Blue switch,AKKO,3087,có dây,360.0,blue,950.0,1589000 
Bàn phím cơ NEWMEN GM326 White Blue switch,NEWMEN,H95S,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,549000 
