Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Giá(đ)
Bàn phím cơ FLEsport FL680 SAM Peach Yellow sw ,FL-Esports,D87S RGB,không dây,357.3097826086956,brown,2399000
Bàn phím cơ FLEsport FL680 SAM Peach Silver sw ,FL-Esports,CK87S,không dây,357.3097826086956,brown,2009000
Bàn phím cơ AKKO 5075B Plus-S Dracula Castle ,Akko,EK87,có dây,357.3097826086956,blue,2199000
Bàn phím cơ AKKO 5075B Plus White ,Akko,GP75CPM,không dây,357.3097826086956,brown,1699000
Bàn phím cơ AKKO 5075B Plus White ,Akko,Everest Max,có dây,357.3097826086956,black,1699000
Bàn phím cơ AKKO 3098B Plus Black ,Akko,T87s Pro Wireless,vừa có dây vừa không dây,357.3097826086956,brown,1699000
Bàn phím cơ AKKO 3098B Plus Black ,Akko,Asus ROG Strix Scope NX TKL Deluxe,vừa có dây vừa không dây,357.3097826086956,black,1699000
Bàn phím cơ AULA F75 Xanh nhạt + Trắng + Xanh đậm ,AULA,EK314W,có dây,357.3097826086956,green,1399000
Bàn phím cơ AULA F75 Đen + Xanh đậm + Cam ,AULA,EK375,có dây,357.3097826086956,red,1399000
Bàn phím cơ AULA F75 Tím nhạt + Be + Xanh lá ,AULA,Kailh Clione Limacina ,không dây,357.3097826086956,pink,1399000
Bàn phím cơ AULA F87 3 mode Đen Trắng Xanh dương ,AULA,T87s Pro Wireless,vừa có dây vừa không dây,357.3097826086956,blue,1399000
Bàn phím cơ AULA F87 3 mode Đen Trắng Xanh lá ,AULA,GD68,vừa có dây vừa không dây,357.3097826086956,blue,1399000
Bàn phím Fuhlen L500S ,Fuhlen,EK87,vừa có dây vừa không dây,357.3097826086956,silver,199000
Bàn phím cơ quang EDRA EK300 Alpha,Edra,E-DRA EK396W V2,vừa có dây vừa không dây,357.3097826086956,yellow,699000
Bàn phím cơ Edra EK3104 Lạc Hồng White Led Black sw ,Edra,GD100,không dây,446.0,green,1599000
Bàn phím cơ Edra EK3104 Lạc Hồng White Led Yellow sw ,Edra,GP75CPM,không dây,446.0,pink,1649000
Bàn phím cơ không dây Newmen GM1000 Yellow sw ,Newmen,EK368L,có dây,368.0,black,1699000
Bàn phím cơ DarkFlash GD68 Starry Blue - Yellow Axis switch ,Darkflash,GD68,không dây,357.3097826086956,yellow,599000
Bàn phím cơ DarkFlash GD68 Brown Sugar - Yellow Axis switch ,Darkflash,GD68,không dây,357.3097826086956,yellow,599000
Bàn phím cơ DarkFlash GD68 Milky & Brown - Yellow Axis switch ,Darkflash,GD68,không dây,357.3097826086956,yellow,599000
Bàn phím cơ Dareu EK1280 v2 Black ,DAREU,G512 GX,có dây,357.3097826086956,blue,799000
Bàn phím cơ DarkFlash GD68 Starry Blue - Yellow Axis switch ,Darkflash,GD68,không dây,357.3097826086956,yellow,599000
Bàn phím cơ DarkFlash GD68 Brown Sugar - Yellow Axis switch ,Darkflash,GD68,không dây,357.3097826086956,yellow,599000
